City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,San Isidro,PE,-12.1167,-77.05,70.5,57,100,5.75,overcast clouds
289,Port Hawkesbury,CA,45.6169,-61.3485,41.92,63,0,10.36,clear sky
290,Sirawai,PH,7.5854,122.1407,80.2,86,64,2.15,broken clouds
291,Pahrump,US,36.2083,-115.9839,58.32,15,100,10.11,overcast clouds
292,Kangaatsiaq,GL,68.3065,-53.4641,-2.27,83,100,13.47,overcast clouds
293,Prince Rupert,CA,54.3161,-130.3201,38.89,86,0,20.71,clear sky
294,Kununurra,AU,-15.7667,128.7333,82.38,78,99,3.44,overcast clouds
295,Dolores,AR,-36.3132,-57.6792,64.47,35,1,5.55,clear sky
296,Mayo,US,38.8876,-76.5119,70.52,71,40,10.36,scattered clouds
297,Along,IN,28.1667,94.7667,71.92,45,4,2.17,clear sky
298,Nemuro,JP,43.3236,145.575,28.83,90,100,36.64,light snow
299,Kirkland Lake,CA,48.1446,-80.0377,34.09,64,100,6.62,overcast clouds
300,Filingue,NE,14.3521,3.3168,103.26,6,13,4.63,few clouds
301,Tabou,CI,4.423,-7.3528,84.18,74,18,10.02,light rain
302,Saint George,US,37.1041,-113.5841,45.19,36,0,3.44,clear sky
303,Novoagansk,RU,61.9449,76.6625,29.62,91,100,13.78,overcast clouds
304,Aklavik,CA,68.2191,-135.0107,-9.4,70,100,11.5,overcast clouds
305,Teacapan,MX,22.55,-105.75,68.22,41,3,3.83,clear sky
306,Coquimbo,CL,-29.9533,-71.3436,64.13,77,40,14.97,scattered clouds
307,Nigran,ES,42.1415,-8.8066,65.17,45,20,9.22,few clouds
308,Longyearbyen,SJ,78.2186,15.6401,24.64,93,75,0,broken clouds
309,Baruun-Urt,MN,46.6806,113.2792,22.23,69,100,5.5,overcast clouds
310,Pitimbu,BR,-7.4706,-34.8086,88.39,61,100,10.04,overcast clouds
311,El Fuerte,MX,26.4189,-108.6194,70.84,22,0,4.27,clear sky
312,Kapit,MY,2.0167,112.9333,73.8,100,100,1.41,moderate rain
313,Palmer,US,42.1584,-72.3287,57.85,86,100,1.99,overcast clouds
314,Tsogni,GA,-2.7942,10.0988,83.05,73,100,13.4,overcast clouds
315,Bikapur,IN,26.6,82.1333,84.61,21,4,7.78,clear sky
316,Vanderhoof,CA,54.0166,-124.0198,30.51,98,100,1.97,snow
317,Awash,ET,8.9833,40.1667,87.28,26,70,14.34,broken clouds
318,Barzas,RU,55.7167,86.3167,18.16,95,99,7.7,overcast clouds
319,Kalmunai,LK,7.4167,81.8167,77.88,87,66,6.38,broken clouds
320,Narok,KE,-1.0783,35.8601,75.78,34,74,2.46,broken clouds
321,Thunder Bay,CA,48.4001,-89.3168,30.18,80,0,6.91,clear sky
322,Nalut,LY,30.3333,10.85,75.54,15,1,15.26,clear sky
323,Talnakh,RU,69.4865,88.3972,9.21,97,100,4.79,light snow
324,Riyadh,SA,24.6877,46.7219,77.14,10,0,7.09,clear sky
325,Half Moon Bay,US,37.4636,-122.4286,53.91,84,100,6.91,mist
326,Wageningen,NL,51.9667,5.6667,57.09,33,0,14.97,clear sky
327,Yaan,NG,7.3833,8.5667,103.39,10,27,4.85,scattered clouds
328,Champerico,GT,14.3,-91.9167,86.54,65,2,10.27,clear sky
329,Naze,JP,28.3667,129.4833,59.92,73,58,12.48,broken clouds
330,Nyurba,RU,63.2842,118.3319,10.36,89,100,9.01,overcast clouds
331,Gweru,ZW,-19.45,29.8167,68.94,58,72,10.76,broken clouds
332,Challans,FR,46.8436,-1.8749,63.52,64,63,10.27,broken clouds
333,Hammerfest,NO,70.6634,23.6821,37.85,70,40,18.41,light rain
334,Lagoa,PT,39.05,-27.9833,54.36,57,98,12.03,overcast clouds
335,Maniitsoq,GL,65.4167,-52.9,0.32,82,100,5.32,overcast clouds
336,Hurghada,EG,27.2574,33.8129,71.64,36,0,21.09,clear sky
337,Hofn,IS,64.2539,-15.2082,45.88,88,100,31.16,overcast clouds
338,Shimoda,JP,34.6667,138.95,47.1,73,9,9.4,clear sky
339,Tual,ID,-5.6667,132.75,84.92,71,74,7.25,broken clouds
